Unnamed: 0,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
247,248,29,Male,Sweater,Clothing,66,Montana,Brown,Spring,4.4,Yes,Standard,Yes,Yes,14,Debit Card,Weekly
2591,2592,40,Male,Jacket,Outerwear,61,New Mexico,Olive,Spring,3.3,No,Express,No,No,40,Cash,Quarterly
1822,1823,66,Male,Shirt,Clothing,85,Connecticut,Cyan,Summer,4.4,No,Standard,No,No,4,Cash,Annually
3483,3484,19,Female,Hoodie,Clothing,37,Texas,White,Winter,3.9,No,Express,No,No,21,Credit Card,Every 3 Months
2771,2772,58,Female,Jacket,Outerwear,52,Maryland,Beige,Summer,3.1,No,2-Day Shipping,No,No,12,Bank Transfer,Fortnightly
3691,3692,63,Female,Sandals,Footwear,21,Michigan,Orange,Summer,4.8,No,Next Day Air,No,No,24,PayPal,Weekly
3058,3059,41,Female,Handbag,Accessories,74,West Virginia,Orange,Winter,3.8,No,Store Pickup,No,No,3,Bank Transfer,Fortnightly
650,651,34,Male,Gloves,Accessories,40,Florida,Magenta,Spring,3.9,Yes,Next Day Air,Yes,Yes,12,Bank Transfer,Annually
2630,2631,29,Male,Skirt,Clothing,82,Maine,Pink,Spring,4.2,No,Free Shipping,No,No,20,Cash,Quarterly
1378,1379,37,Male,Jacket,Outerwear,49,Kentucky,Lavender,Fall,3.6,No,Free Shipping,Yes,Yes,24,Venmo,Weekly
2359,2360,19,Male,Scarf,Accessories,81,Pennsylvania,Gold,Spring,3.3,No,2-Day Shipping,No,No,44,Bank Transfer,Every 3 Months
175,176,53,Male,Coat,Outerwear,86,Oklahoma,Violet,Fall,2.8,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually
278,279,57,Male,Sweater,Clothing,95,Hawaii,Orange,Spring,3.7,Yes,Express,Yes,Yes,23,Debit Card,Annually
1116,1117,67,Male,Backpack,Accessories,96,Hawaii,Charcoal,Winter,4.2,No,Express,Yes,Yes,39,PayPal,Fortnightly
1018,1019,50,Male,Dress,Clothing,70,Georgia,Charcoal,Spring,4.9,Yes,Next Day Air,Yes,Yes,46,Cash,Weekly
2086,2087,65,Male,Dress,Clothing,89,North Dakota,Beige,Summer,4.7,No,2-Day Shipping,No,No,36,Cash,Every 3 Months
2093,2094,21,Male,Dress,Clothing,91,Washington,Maroon,Spring,4.2,No,Store Pickup,No,No,4,Debit Card,Annually
2620,2621,27,Male,Blouse,Clothing,23,Ohio,Lavender,Winter,3.0,No,Standard,No,No,28,Debit Card,Annually
2440,2441,31,Male,Socks,Clothing,90,Indiana,Red,Spring,4.7,No,Standard,No,No,47,Bank Transfer,Annually
691,692,60,Male,Backpack,Accessories,21,Massachusetts,Silver,Summer,2.9,Yes,Standard,Yes,Yes,37,PayPal,Bi-Weekly
2510,2511,40,Male,Jacket,Outerwear,42,South Dakota,Purple,Winter,4.4,No,Standard,No,No,48,Credit Card,Weekly
416,417,36,Male,Belt,Accessories,55,Oregon,Olive,Spring,3.8,Yes,Free Shipping,Yes,Yes,24,Bank Transfer,Fortnightly
1237,1238,25,Male,Dress,Clothing,92,Michigan,Charcoal,Spring,4.4,No,2-Day Shipping,Yes,Yes,42,Credit Card,Quarterly
217,218,35,Male,Sunglasses,Accessories,48,Oklahoma,Purple,Winter,3.5,Yes,Next Day Air,Yes,Yes,24,Bank Transfer,Annually
2473,2474,57,Male,Socks,Clothing,98,Arkansas,Red,Winter,2.6,No,Next Day Air,No,No,28,Cash,Quarterly
1866,1867,31,Male,T-shirt,Clothing,44,Alaska,Gold,Winter,4.2,No,Standard,No,No,9,Credit Card,Fortnightly
1972,1973,54,Male,Backpack,Accessories,31,Louisiana,Silver,Summer,3.3,No,Express,No,No,48,PayPal,Every 3 Months
